ROUTE_ID,COMPANY_CODE,DISTRICT,ROUTE_NAMEC,ROUTE_NAMES,ROUTE_NAMEE,ROUTE_TYPE,SERVICE_MODE,SPECIAL_TYPE,JOURNEY_TIME,LOC_START_NAMEC,LOC_START_NAMES,LOC_START_NAMEE,LOC_END_NAMEC,LOC_END_NAMES,LOC_END_NAMEE,HYPERLINK_C,HYPERLINK_S,HYPERLINK_E,FULL_FARE,LAST_UPDATE_DATE
1001,"KMB",,"1","1","1",1,"R",0,4.0000000000000000e+01,"竹園邨","竹园邨","CHUK YUEN ESTATE","尖沙咀碼頭","尖沙咀码头","STAR FERRY","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=en",6.7000,"01/02/25 00:00:00"
1002,"KMB",,"10","10","10",1,"R",0,5.5000000000000000e+01,"彩雲","彩云","CHOI WAN","大角咀(循環線)","大角咀(循环线)","TAI KOK TSUI (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=en",5.6000,"12/13/24 00:00:00"
1006,"KMB+CTB",,"102P","102P","102P",1,"T",1,6.4000000000000000e+01,"筲箕灣","筲箕湾","SHAU KEI WAN","美孚","美孚","MEI FOO","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=en",12.9000,"06/18/23 00:00:00"
1008,"KMB+CTB",,"103","103","103",1,"R",0,5.9000000000000000e+01,"竹園邨","竹园邨","CHUK YUEN ESTATE","蒲飛路","蒲飞路","POKFIELD RD","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=en",12.9000,"11/04/24 00:00:00"
1010,"KMB+CTB",,"106","106","106",1,"R",0,8.2000000000000000e+01,"黃大仙","黄大仙","Wong Tai Sin","小西灣(藍灣半島)","小西湾(蓝湾半岛)","Siu Sai Wan (Island Resort)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=en",12.9000,"09/30/24 00:00:00"
1014,"KMB",,"108","108","108",1,"R",0,5.0000000000000000e+01,"啟業","启业","KAI YIP","寶馬山","宝马山","BRAEMAR HILL","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=en",12.4000,"01/02/25 00:00:00"
1015,"KMB+CTB",,"109","109","109",1,"R",0,3.8000000000000000e+01,"何文田","何文田","Ho Man Tin","中環(港澳碼頭)","中环(港澳码头)","Central (Macau Ferry)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=109&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=109&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=109&lang=en",12.2000,"05/10/24 00:00:00"
1016,"KMB",,"11","11","11",1,"R",0,4.5000000000000000e+01,"鑽石山站","钻石山站","DIAMOND HILL STATION","九龍站","九龙站","KOWLOON STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11&lang=en",5.8000,"05/24/24 00:00:00"
1017,"KMB+CTB",,"110","110","110",1,"T",0,8.4000000000000000e+01,"筲箕灣","筲箕湾","SHAU KEI WAN","尖沙咀(循環線)","尖沙咀(循环线)","TSIM SHA TSUI (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=en",12.2000,"06/28/24 00:00:00"
1019,"KMB+CTB",,"112","112","112",1,"R",0,5.2000000000000000e+01,"北角","北角","North Point","蘇屋","苏屋","So Uk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=112&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=112&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=112&lang=en",12.2000,"09/20/24 00:00:00"
1021,"KMB+CTB",,"115","115","115",1,"R",0,3.9000000000000000e+01,"九龍城碼頭","九龙城码头","Kowloon City Ferry","中環(港澳碼頭)","中环(港澳码头)","Central (Macau Ferry)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=115&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=115&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=115&lang=en",12.2000,"05/31/24 00:00:00"
1022,"KMB+CTB",,"115P","115P","115P",1,"T",1,2.8000000000000000e+01,"海逸豪園","海逸豪园","LAGUNA VERDE","中環(港澳碼頭)","中环(港澳码头)","Central (Macau Ferry)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=115P&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=115P&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=115P&lang=en",12.2000,"05/31/24 00:00:00"
1023,"KMB+CTB",,"116","116","116",1,"R",0,6.1000000000000000e+01,"慈雲山(中)","慈云山(中)","Tsz Wan Shan (Central)","鰂魚涌","鲗鱼涌","Quarry Bay","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=116&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=116&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=116&lang=en",12.9000,"10/22/24 00:00:00"
1024,"KMB+CTB",,"117","117","117",1,"R",0,4.3000000000000000e+01,"深水埗(欽州街)","深水埗(钦州街)","SHAM SHUI PO (YEN CHOW ST)","跑馬地(下)","跑马地(下)","HAPPY VALLEY (LOWER)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=117&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=117&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=117&lang=en",12.2000,"06/18/23 00:00:00"
1027,"KMB",,"11B","11B","11B",1,"R",0,2.7000000000000000e+01,"觀塘(翠屏道)","观塘(翠屏道)","KWUN TONG (TSUI PING ROAD)","九龍城碼頭","九龙城码头","KOWLOON CITY FERRY","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11B&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11B&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11B&lang=en",5.8000,"07/19/24 00:00:00"
1028,"KMB",,"11C","11C","11C",1,"R",0,4.1000000000000000e+01,"竹園邨","竹园邨","CHUK YUEN ESTATE","上秀茂坪","上秀茂坪","SAU MAU PING (UPPER)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11C&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11C&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11C&lang=en",6.7000,"06/12/24 00:00:00"
1029,"KMB",,"11D","11D","11D",1,"R",0,2.9000000000000000e+01,"樂富","乐富","LOK FU","觀塘碼頭","观塘码头","KWUN TONG FERRY","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11D&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11D&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11D&lang=en",5.8000,"10/18/23 00:00:00"
1030,"KMB",,"11K","11K","11K",1,"R",0,3.9000000000000000e+01,"竹園邨","竹园邨","CHUK YUEN ESTATE","紅磡站","红磡站","HUNG HOM STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11K&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11K&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11K&lang=en",5.8000,"07/12/24 00:00:00"
1031,"KMB",,"11X","11X","11X",1,"R",0,4.7000000000000000e+01,"安泰(北)","安泰(北)","ON TAI (NORTH)","紅磡站","红磡站","HUNG HOM STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11X&lang=en",8.6000,"01/02/25 00:00:00"
1032,"KMB",,"12","12","12",1,"R",0,3.7000000000000000e+01,"海麗邨","海丽邨","HOI LAI ESTATE","尖沙咀東(麼地道)","尖沙咀东(么地道)","TSIM SHA TSUI EAST (MODY ROAD)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=12&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=12&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=12&lang=en",5.6000,"05/03/24 00:00:00"
1033,"KMB",,"12A","12A","12A",1,"R",0,4.2000000000000000e+01,"黃埔花園","黄埔花园","WHAMPOA GARDEN","長沙灣(海達邨)","长沙湾(海达邨)","CHEUNG SHA WAN (HOI TAT ESTATE)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=12A&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=12A&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=12A&lang=en",5.8000,"06/18/23 00:00:00"
1034,"KMB",,"13D","13D","13D",1,"T",1,5.6000000000000000e+01,"寶達","宝达","PO TAT","維港灣","维港湾","ISLAND HARBOURVIEW","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13D&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13D&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13D&lang=en",7.8000,"11/15/24 00:00:00"
1035,"KMB",,"13M","13M","13M",1,"R",0,1.9000000000000000e+01,"觀塘(雅麗道)","观塘(雅丽道)","KWUN TONG (ELEGANCE ROAD)","寶達(循環線)","宝达(循环线)","PO TAT (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13M&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13M&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13M&lang=en",5.1000,"06/14/24 00:00:00"
1036,"KMB",,"13P","13P","13P",1,"T",1,5.3000000000000000e+01,"寶達","宝达","PO TAT","長沙灣(麗閣邨)","长沙湾(丽阁邨)","CHEUNG SHA WAN (LAI KOK ESTATE)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13P&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13P&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13P&lang=en",7.8000,"10/06/23 00:00:00"
1037,"KMB",,"13X","13X","13X",1,"R",0,5.3000000000000000e+01,"寶達","宝达","PO TAT","尖沙咀東","尖沙咀东","TSIM SHA TSUI EAST","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=13X&lang=en",8.6000,"09/13/24 00:00:00"
1038,"KMB",,"14","14","14",1,"R",0,4.5000000000000000e+01,"鯉魚門邨","鲤鱼门邨","LEI YUE MUN ESTATE","中港碼頭","中港码头","CHINA FERRY TERMINAL","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14&lang=en",7.8000,"11/15/24 00:00:00"
1039,"KMB",,"14B","14B","14B",1,"R",0,2.4000000000000000e+01,"牛頭角","牛头角","NGAU TAU KOK","藍田(廣田邨)","蓝田(广田邨)","LAM TIN (KWONG TIN ESTATE)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14B&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14B&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14B&lang=en",5.8000,"07/19/24 00:00:00"
1040,"KMB",,"14X","14X","14X",1,"R",0,4.2000000000000000e+01,"油塘(祟德圍)","油塘(祟德围)","YAU TONG (SHUNG TAK WAI)","尖沙咀(循環線)","尖沙咀(循环线)","TSIM SHA TSUI (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=14X&lang=en",8.6000,"01/02/25 00:00:00"
1041,"KMB",,"15","15","15",1,"R",0,4.2000000000000000e+01,"平田","平田","PING TIN","紅磡(紅鸞道)","红磡(红鸾道)","HUNG HOM (HUNG LUEN ROAD)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=15&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=15&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=15&lang=en",7.8000,"08/16/24 00:00:00"
1042,"KMB",,"15A","15A","15A",1,"R",0,4.9000000000000000e+01,"平田","平田","PING TIN","慈雲山(北)","慈云山(北)","TSZ WAN SHAN (NORTH)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=15A&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=15A&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=15A&lang=en",6.7000,"12/23/24 00:00:00"
1044,"KMB",,"16","16","16",1,"R",0,4.4000000000000000e+01,"藍田(廣田邨)","蓝田(广田邨)","LAM TIN (KWONG TIN ESTATE)","旺角(柏景灣)","旺角(柏景湾)","MONG KOK (PARK AVENUE)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=16&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=16&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=16&lang=en",7.8000,"09/16/24 00:00:00"
1045,"KMB",,"16M","16M","16M",1,"R",0,1.8000000000000000e+01,"觀塘(裕民坊)","观塘(裕民坊)","KWUN TONG (YUE MAN SQUARE)","藍田(康華苑) (循環線)","蓝田(康华苑) (循环线)","LAM TIN (HONG WAH COURT) (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=16M&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=16M&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=16M&lang=en",5.2000,"08/09/24 00:00:00"
1046,"KMB",,"17","17","17",1,"R",0,3.6000000000000000e+01,"觀塘(裕民坊)","观塘(裕民坊)","KWUN TONG (YUE MAN SQUARE)","何文田(愛民邨)","何文田(爱民邨)","HO MAN TIN (OI MAN ESTATE)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=17&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=17&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=17&lang=en",6.7000,"09/27/24 00:00:00"
1047,"KMB+CTB",,"170","170","170",1,"R",0,5.2000000000000000e+01,"沙田站","沙田站","SHATIN STATION","華富(中)","华富(中)","WAH FU (CENTRAL)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=170&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=170&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=170&lang=en",20.8000,"06/18/23 00:00:00"
1050,"KMB",,"18","18","18",1,"R",0,4.5000000000000000e+01,"往長沙灣(海達邨)","往长沙湾(海达邨)","CHEUNG SHA WAN (HOI TAT ESTATE)","愛民(循環線)","爱民(循环线)","OI MAN(CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=18&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=18&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=18&lang=en",5.6000,"11/17/23 00:00:00"
1051,"KMB+CTB",,"182","182","182",1,"R",0,5.6000000000000000e+01,"愉翠苑","愉翠苑","Yu Chui Court","中環(港澳碼頭)","中环(港澳码头)","Central (Macau Ferry)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=182&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=182&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=182&lang=en",20.8000,"03/22/24 00:00:00"
1053,"KMB",,"1A","1A","1A",1,"R",0,5.4000000000000000e+01,"中秀茂坪","中秀茂坪","SAU MAU PING (CENTRAL)","尖沙咀碼頭","尖沙咀码头","STAR FERRY","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1A&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1A&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1A&lang=en",8.2000,"09/27/24 00:00:00"
1054,"KMB",,"2","2","2",1,"R",0,3.5000000000000000e+01,"尖沙咀碼頭","尖沙咀码头","STAR FERRY","長沙灣(蘇屋邨)","长沙湾(苏屋邨)","CHEUNG SHA WAN (SO UK ESTATE)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=2&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=2&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=2&lang=en",5.6000,"06/18/23 00:00:00"
1056,"KMB",,"203E","203E","203E",1,"R",0,4.7000000000000000e+01,"彩虹","彩虹","CHOI HUNG","九龍站","九龙站","KOWLOON STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=203E&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=203E&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=203E&lang=en",6.7000,"03/08/24 00:00:00"
1057,"KMB",,"208","208","208",1,"R",0,3.8000000000000000e+01,"廣播道","广播道","BROADCAST DRIVE","尖沙咀東","尖沙咀东","TSIM SHA TSUI EAST","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=208&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=208&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=208&lang=en",9.3000,"06/10/23 00:00:00"
1058,"KMB",,"21","21","21",1,"R",0,3.5000000000000000e+01,"彩雲","彩云","CHOI WAN","紅磡站","红磡站","HUNG HOM STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=21&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=21&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=21&lang=en",5.6000,"01/17/25 00:00:00"
1059,"KMB",,"211","211","211",1,"R",0,1.3000000000000000e+01,"翠竹花園","翠竹花园","TSUI CHUK GARDEN","黃大仙站(循環線)","黄大仙站(循环线)","WONG TAI SIN STATION (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=211&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=211&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=211&lang=en",4.6000,"06/18/23 00:00:00"
1061,"KMB",,"215X","215X","215X",1,"R",0,4.2000000000000000e+01,"藍田(廣田邨)","蓝田(广田邨)","LAM TIN (KWONG TIN ESTATE)","九龍站","九龙站","KOWLOON STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=215X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=215X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=215X&lang=en",8.6000,"01/02/25 00:00:00"
1062,"KMB",,"216M","216M","216M",1,"R",0,2.0000000000000000e+01,"藍田站","蓝田站","LAM TIN STATION","油塘站(循環線)","油塘站(循环线)","YAU TONG STATION (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=216M&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=216M&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=216M&lang=en",4.0000,"08/19/24 00:00:00"
1064,"KMB",,"219X","219X","219X",1,"R",0,3.4000000000000000e+01,"麗港城","丽港城","LAGUNA CITY","尖沙咀(循環線)","尖沙咀(循环线)","TSIM SHA TSUI(CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=219X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=219X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=219X&lang=en",8.6000,"01/02/25 00:00:00"
1066,"KMB",,"224X","224X","224X",1,"T",1,2.9000000000000000e+01,"啟業","启业","KAI YIP","尖沙咀東(循環線)","尖沙咀东(循环线)","TSIM SHA TSUI EAST (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=224X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=224X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=224X&lang=en",8.6000,"01/19/24 00:00:00"
1067,"KMB",,"23","23","23",1,"R",0,2.5000000000000000e+01,"觀塘碼頭","观塘码头","KWUN TONG FERRY","順利(循環線)","顺利(循环线)","SHUN LEE (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=23&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=23&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=23&lang=en",5.2000,"04/05/24 00:00:00"
1068,"KMB",,"230X","230X","230X",1,"T",1,5.0000000000000000e+01,"荃灣(荃威花園)","荃湾(荃威花园)","TSUEN WAN (ALLWAY GARDENS)","黃埔花園","黄埔花园","WHAMPOA GARDEN","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=230X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=230X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=230X&lang=en",11.0000,"06/18/23 00:00:00"
1069,"KMB",,"234A","234A","234A",1,"R",0,2.5000000000000000e+01,"深井(浪翠園)","深井(浪翠园)","SHAM TSENG (SEA CREST VILLA)","荃灣西站","荃湾西站","TSUEN WAN WEST STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234A&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234A&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234A&lang=en",7.1000,"11/22/24 00:00:00"
1070,"KMB",,"234B","234B","234B",1,"R",0,3.0000000000000000e+01,"荃灣西站","荃湾西站","TSUEN WAN WEST STATION","深井(浪翠園)","深井(浪翠园)","SHAM TSENG (SEA CREST VILLA)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234B&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234B&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234B&lang=en",5.8000,"01/02/25 00:00:00"
1071,"KMB",,"234P","234P","234P",1,"T",1,5.6000000000000000e+01,"荃灣(灣景花園)","荃湾(湾景花园)","TSUEN WAN (BAYVIEW GARDEN)","尖沙咀碼頭","尖沙咀码头","STAR FERRY","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234P&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234P&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234P&lang=en",10.2000,"06/18/23 00:00:00"
1073,"KMB",,"234X","234X","234X",1,"R",0,5.9000000000000000e+01,"尖沙咀東(麼地道)","尖沙咀东(麽地道)","TSIM SHA TSUI EAST (MODY ROAD)","荃灣(灣景花園)","荃湾(湾景花园)","TSUEN WAN (BAYVIEW GARDEN)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=234X&lang=en",10.2000,"01/02/25 00:00:00"
1074,"KMB",,"235","235","235",1,"R",0,3.2000000000000000e+01,"葵涌(安蔭邨)","葵涌(安荫邨)","KWAI CHUNG (ON YAM ESTATE)","荃灣(循環線)","荃湾(循环线)","TSUEN WAN (CIRCULAR)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=235&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=235&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=235&lang=en",5.1000,"09/27/24 00:00:00"
1075,"KMB",,"235M","235M","235M",1,"R",0,1.7000000000000000e+01,"葵涌安蔭邨","葵涌安荫邨","KWAI CHUNG (ON YAM ESTATE)","葵芳站","葵芳站","KWAI FONG STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=235M&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=235M&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=235M&lang=en",4.8000,"10/25/24 00:00:00"
1077,"KMB",,"238M","238M","238M",1,"R",0,1.5000000000000000e+01,"荃灣(海濱花園)","荃湾(海滨花园)","TSUEN WAN (RIVIERA GARDENS)","荃灣站","荃湾站","TSUEN WAN STATION","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=238M&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=238M&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=238M&lang=en",4.3000,"04/22/24 00:00:00"
1078,"KMB",,"238P","238P","238P",1,"T",1,3.3000000000000000e+01,"荃灣(海濱花園)","荃湾(海滨花园)","TSUEN WAN (RIVIERA GARDENS)","中港碼頭","中港码头","CHINA FERRY TERMINAL","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=238P&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=238P&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=238P&lang=en",9.3000,"05/10/24 00:00:00"
1079,"KMB",,"238X","238X","238X",1,"R",0,4.4000000000000000e+01,"荃灣(海濱花園)","荃湾(海滨花园)","TSUEN WAN (RIVIERA GARDENS)","中港碼頭","中港码头","CHINA FERRY TERMINAL","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=238X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=238X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=238X&lang=en",9.3000,"05/10/24 00:00:00"
